Campaign name,Ad set name,Ad name,day,Cost,Reach,Impressions,Frequency,Link clicks,Website purchases,Purchase conversion value,Website adds to cart,Landing page views,Video watches at 100%,Website checkouts initiated,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),ROI,客单价 (USD),转化率,ATC Rate,Cost per add to cart,Cost per landing page view,Cost per purchase,Reporting starts,Reporting ends,Currency
Event: Velotric x Dusty Roads Bicycles Demo Day,Event: Velotric x Dusty Roads Bicycles Demo Day,Event: Velotric x Dusty Roads Bicycles Demo Day,2026-01-13,5.23,111,124,1.12,3,,,,5,,,42.17741935,0.02419354839,1.743333333,0,#DIV/0!,0,0,#DIV/0!,1.046,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-B1-IMG-Standard-Scenario-SP-AO-Winter,2026-01-07,0.01,1,1,1,,,,,,,,10,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-B1-IMG-Standard-Scenario-SP-AO-Winter,2026-01-09,0.16,12,12,1,,,,,,,,13.33333333,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-B1-IMG-Standard-Scenario-SP-AO-Winter,2026-01-11,0.08,9,9,1,,,,,,,,8.888888889,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-B1-IMG-Standard-Scenario-SP-AO-Winter,2026-01-12,0.12,14,14,1,,,,,,,,8.571428571,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-B1-IMG-Standard-Scenario-SP-AO-Winter,2026-01-13,0.01,1,1,1,,,,,2,,,10,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.005,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-D2-IMG-Standard-Scenario-SP-AO-Winter,2026-01-07,0.62,46,47,1.02,,,,,,,,13.19148936,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-D2-IMG-Standard-Scenario-SP-AO-Winter,2026-01-08,1.63,108,138,1.28,2,,,,,,,11.8115942,0.01449275362,0.815,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-D2-IMG-Standard-Scenario-SP-AO-Winter,2026-01-09,0.5,32,34,1.06,1,,,,,,,14.70588235,0.02941176471,0.5,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,
GOC-All_Products-Lifecycle-DealerVideoViewer-CPA-Prospecting-Dealer-Prospecting-CV-CV-20251106-,【AO】PDP-ASC-ALL-Dealer_Video_Viewer_IMG-1208,20251224-CV-D2-IMG-Standard-Scenario-SP-AO-Winter,2026-01-10,0.05,3,3,1,,,,,,,,16.66666667,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
